,acts,preds,hold_out_loss
191,122919.6127278417,98313.6796875,29941.830078125
192,124399.69205728002,178465.796875,29941.830078125
193,129118.03502602672,108707.421875,29941.830078125
194,124435.58065103668,78666.03125,29941.830078125
195,121604.97471356332,8588.248046875,29941.830078125
196,122686.31691576926,106791.6328125,29941.830078125
197,121011.71088544662,14580.6162109375,29941.830078125
198,119433.47786458331,36927.33984375,29941.830078125
199,121992.82190104664,86035.71875,29941.830078125
200,117729.23598957335,116345.2265625,29941.830078125
201,118658.03893229332,122015.859375,29941.830078125
202,122851.99348959,-0.0,29941.830078125
203,120593.36256509586,62474.3046875,29941.830078125
204,120315.17117186006,101195.4609375,29941.830078125
205,120842.20986981994,98151.6796875,29941.830078125
206,119533.06846351008,65098.01171875,29941.830078125
207,123291.54518230337,33730.87890625,29941.830078125
208,125038.94627602336,103863.1015625,29941.830078125
209,123595.2046353834,91861.09375,29941.830078125
210,124397.95690105663,35081.39453125,29941.830078125
211,123507.84817709331,35152.37109375,29941.830078125
212,122017.31536459332,48130.08203125,29941.830078125
213,124052.14486981998,33676.18359375,29941.830078125
214,130373.86140625663,63040.85546875,29941.830078125
215,125943.75986332078,88346.5703125,29941.830078125
216,122233.01669274994,90295.3515625,29941.830078125
217,126435.61208331006,88416.90625,29941.830078125
218,126763.24221357328,97269.9296875,29941.830078125
219,121438.77330728337,83874.1875,29941.830078125
220,119417.09083333006,94861.5546875,29941.830078125
221,123986.85179690665,46621.1796875,29941.830078125
222,121882.84914060668,50969.41796875,29941.830078125
223,118997.53020833664,48607.6640625,29941.830078125
224,119135.81328125668,60741.859375,29941.830078125
225,119594.1476302133,30975.953125,29941.830078125
226,118547.51205728002,16524.05859375,29941.830078125
227,120095.0890624792,34225.54296875,29941.830078125
