h,m_b,W
4,40,118696.10511362625
4,45,117079.11842797972
4,50,122330.58867185337
4,55,118372.77571201266
5,0,137601.34364583335
5,5,144330.76709806398
5,10,145689.0049452862
5,15,143447.953125
5,20,153424.09055159395
5,25,159012.7545986622
5,30,157439.07279473243
5,35,155689.84480574325
5,40,159981.9163510101
5,45,162172.56760416666
5,50,165374.4984743266
5,55,155262.1233587185
6,0,158590.23807291666
6,5,154839.57691089527
6,10,150532.7603114478
6,15,149912.79671875
6,20,146916.1596398305
6,25,152641.66697916668
6,30,152209.80760416668
6,35,156859.4260451858
6,40,159299.39430765994
6,45,155394.20464046823
6,50,155176.7155720339
6,55,152095.33731617648
7,0,156328.93208333335
7,5,156654.304871633
7,10,158295.4914534396
7,15,151385.14114583333
7,20,148084.56112288137
7,25,141680.09764309763
7,30,139894.20536458332
7,35,136854.1429765953
7,40,139257.16121198988
7,45,134305.74567708332
7,50,139112.80075503356
7,55,130068.99146838074
8,0,130563.67362562208
8,5,131117.77852224745
8,10,137068.47888021666
8,15,140712.79222408027
8,20,162324.96313559322
8,25,164938.79765625
8,30,167692.30713541666
8,35,165341.29207136825
8,40,168550.96780936455
8,45,173746.57989583333
8,50,170062.8795924831
8,55,170495.33365885416
9,0,174247.44567708333
9,5,175993.51177153716
9,10,179494.14416881444
9,15,179721.0335648148
9,20,178537.8914611204
9,25,186017.82204278524
9,30,182932.373164849
9,35,176344.94291666665
9,40,167893.28790118243
9,45,164500.36516203705
9,50,167072.64630208333
9,55,159152.3487605485
10,0,158115.0153637124
10,5,161011.6493520067
10,10,161771.46732954544
10,15,158251.97416666665
10,20,155947.66675464527
10,25,151513.47161458334
10,30,156234.2440750839
10,35,152263.0897516835
10,40,152188.00375
10,45,153651.97595338983
10,50,153369.43645833334
10,55,141853.2873953975
11,0,150773.83559782608
11,5,146267.14640625
11,10,150638.49630489864
11,15,144095.16479166667
11,20,146164.30411458333
11,25,141568.47309322035
11,30,140724.45755208333
11,35,144460.13588541668
11,40,147474.14711782095
11,45,154393.3399874582
11,50,159160.0087270067
11,55,157688.0528085443
12,0,160485.84041666667
12,5,150961.36763168898
12,10,157862.3700907939
12,15,156840.44630208332
12,20,157853.390625
12,25,153163.2763935811
12,30,155077.538125
12,35,159855.43327702704
12,40,158602.86458333334
12,45,
12,50,
12,55,
13,0,
13,5,
13,10,
13,15,
13,20,
13,25,
13,30,
13,35,
13,40,
13,45,
13,50,
13,55,
14,0,
14,5,
14,10,
14,15,
14,20,
