consumption,Year,Month,DayOfYear,DayOfWeek,DayType,Hour,Minute,Season
87765.74326666667,2018,7,182,6,0,21,45,2
84655.45533333333,2018,7,182,6,0,22,0,2
85259.5884,2018,7,182,6,0,22,15,2
85573.78493333334,2018,7,182,6,0,22,30,2
82446.79626666667,2018,7,182,6,0,22,45,2
80173.03173333332,2018,7,182,6,0,23,0,2
81177.27733333333,2018,7,182,6,0,23,15,2
80472.58241176471,2018,7,182,6,0,23,30,2
79724.55733333335,2018,7,182,6,0,23,45,2
79773.59442857142,2018,7,183,0,1,0,0,2
79106.93826666666,2018,7,183,0,1,0,15,2
80167.1244,2018,7,183,0,1,0,30,2
80281.69846666668,2018,7,183,0,1,0,45,2
78659.66739999999,2018,7,183,0,1,1,0,2
77142.4348,2018,7,183,0,1,1,15,2
77830.94999999998,2018,7,183,0,1,1,30,2
79071.79086666666,2018,7,183,0,1,1,45,2
79334.30866666668,2018,7,183,0,1,2,0,2
83281.38866666665,2018,7,183,0,1,2,15,2
84804.28933333332,2018,7,183,0,1,2,30,2
86532.52833333334,2018,7,183,0,1,2,45,2
87811.48706666667,2018,7,183,0,1,3,0,2
88063.28960000002,2018,7,183,0,1,3,15,2
95994.24833333334,2018,7,183,0,1,3,30,2
106107.52260000001,2018,7,183,0,1,3,45,2
115676.3332142857,2018,7,183,0,1,4,0,2
143075.20599999998,2018,7,183,0,1,4,15,2
184815.33399999997,2018,7,183,0,1,4,30,2
194672.698,2018,7,183,0,1,4,45,2
194957.74400000004,2018,7,183,0,1,5,0,2
182784.29866666667,2018,7,183,0,1,5,15,2
183092.44733333334,2018,7,183,0,1,5,30,2
184732.46,2018,7,183,0,1,5,45,2
177765.938,2018,7,183,0,1,6,0,2
181219.47133333335,2018,7,183,0,1,6,15,2
177469.23933333336,2018,7,183,0,1,6,30,2
180739.83000000002,2018,7,183,0,1,6,45,2
180559.24866666665,2018,7,183,0,1,7,0,2
182445.0346666667,2018,7,183,0,1,7,15,2
175454.91176470587,2018,7,183,0,1,7,30,2
160103.0613333333,2018,7,183,0,1,7,45,2
158182.11599999998,2018,7,183,0,1,8,0,2
156389.5257142857,2018,7,183,0,1,8,15,2
157514.57066666667,2018,7,183,0,1,8,30,2
160010.532,2018,7,183,0,1,8,45,2
167548.77066666668,2018,7,183,0,1,9,0,2
170574.154,2018,7,183,0,1,9,15,2
169890.19133333338,2018,7,183,0,1,9,30,2
171680.54866666664,2018,7,183,0,1,9,45,2
169683.93466666667,2018,7,183,0,1,10,0,2
161086.35266666667,2018,7,183,0,1,10,15,2
163541.10933333336,2018,7,183,0,1,10,30,2
162268.4333333333,2018,7,183,0,1,10,45,2
160334.25333333333,2018,7,183,0,1,11,0,2
157364.56533333333,2018,7,183,0,1,11,15,2
155337.022,2018,7,183,0,1,11,30,2
155284.25571428568,2018,7,183,0,1,11,45,2
155659.212,2018,7,183,0,1,12,0,2
150571.154,2018,7,183,0,1,12,15,2
143866.62533333336,2018,7,183,0,1,12,30,2
140095.2286666667,2018,7,183,0,1,12,45,2
140286.90333333335,2018,7,183,0,1,13,0,2
141148.5433333333,2018,7,183,0,1,13,15,2
143530.16133333332,2018,7,183,0,1,13,30,2
134884.282,2018,7,183,0,1,13,45,2
130981.19826666666,2018,7,183,0,1,14,0,2
126686.78233333332,2018,7,183,0,1,14,15,2
118738.12773333334,2018,7,183,0,1,14,30,2
117231.09899999999,2018,7,183,0,1,14,45,2
113687.84526666666,2018,7,183,0,1,15,0,2
116987.39733333334,2018,7,183,0,1,15,15,2
114899.42382352942,2018,7,183,0,1,15,30,2
109693.12373333334,2018,7,183,0,1,15,45,2
108535.43342857144,2018,7,183,0,1,16,0,2
108871.5,2018,7,183,0,1,16,15,2
109491.54933333331,2018,7,183,0,1,16,30,2
103088.38493333332,2018,7,183,0,1,16,45,2
100513.54099999998,2018,7,183,0,1,17,0,2
101602.5446,2018,7,183,0,1,17,15,2
102881.76946666668,2018,7,183,0,1,17,30,2
102325.8018,2018,7,183,0,1,17,45,2
101407.70013333332,2018,7,183,0,1,18,0,2
102397.2128,2018,7,183,0,1,18,15,2
103338.25520000001,2018,7,183,0,1,18,30,2
100992.48753333333,2018,7,183,0,1,18,45,2
98750.99073333334,2018,7,183,0,1,19,0,2
100026.28499999999,2018,7,183,0,1,19,15,2
99808.0926,2018,7,183,0,1,19,30,2
98327.53120000001,2018,7,183,0,1,19,45,2
92576.04978571428,2018,7,183,0,1,20,0,2
90011.69760000001,2018,7,183,0,1,20,15,2
87558.89733333333,2018,7,183,0,1,20,30,2
87302.64293333334,2018,7,183,0,1,20,45,2
86782.88193333335,2018,7,183,0,1,21,0,2
85662.01766666668,2018,7,183,0,1,21,15,2
84520.81673333334,2018,7,183,0,1,21,30,2
85298.22293333332,2018,7,183,0,1,21,45,2
85581.62526666667,2018,7,183,0,1,22,0,2
83822.1356,2018,7,183,0,1,22,15,2
83585.94693333333,2018,7,183,0,1,22,30,2
84231.20800000001,2018,7,183,0,1,22,45,2
84637.59899999999,2018,7,183,0,1,23,0,2
84500.02133333334,2018,7,183,0,1,23,15,2
83127.5685882353,2018,7,183,0,1,23,30,2
82811.30946666664,2018,7,183,0,1,23,45,2
83279.5496,2018,7,184,1,1,0,0,2
83375.28742857142,2018,7,184,1,1,0,15,2
82985.66106666668,2018,7,184,1,1,0,30,2
83011.05440000001,2018,7,184,1,1,0,45,2
82096.26560000001,2018,7,184,1,1,1,0,2
81391.367,2018,7,184,1,1,1,15,2
80558.16053333334,2018,7,184,1,1,1,30,2
81415.87466666667,2018,7,184,1,1,1,45,2
80591.42213333333,2018,7,184,1,1,2,0,2
82703.482,2018,7,184,1,1,2,15,2
82853.41206666666,2018,7,184,1,1,2,30,2
