Date,W
2018-03-15,129721.1969600254
2018-03-16,137277.5741739861
2018-03-17,112378.9441293096
2018-03-18,97877.31800287156
2018-03-19,137712.46933107582
2018-03-20,149253.0183398791
2018-03-21,141772.2021962509
2018-03-22,135078.1854759583
2018-03-23,126697.97376470012
2018-03-24,103260.13157222238
2018-03-25,114606.40293733931
2018-03-26,158244.9170126913
2018-03-27,169554.4080941637
2018-03-28,141188.48094241144
2018-03-29,115328.21298758275
2018-03-30,112166.20205910566
2018-03-31,110245.06924130557
2018-04-01,106708.6080226084
2018-04-02,148832.34161193654
2018-04-03,148241.0013214432
2018-04-04,144274.9557232297
2018-04-05,151478.3741681937
2018-04-06,141732.62236252427
2018-04-07,123983.19856946304
2018-04-08,118671.15964824668
2018-04-09,147547.47107361173
2018-04-10,147450.29312893774
2018-04-11,144023.608460899
2018-04-12,153572.09516987775
2018-04-13,147170.54422558984
2018-04-14,117608.561866774
2018-04-15,90336.94617025637
2018-04-17,161186.2212218499
2018-04-18,159412.70990393427
2018-04-19,175126.95148677204
2018-04-23,139041.5027176418
2018-04-24,141527.68269181493
2018-04-25,127326.75497144448
2018-04-26,147107.76897011462
2018-04-27,137087.10417788013
2018-04-28,117066.51283906805
2018-04-29,112015.56500325263
2018-05-02,151412.07450818818
2018-05-03,141119.35100396042
2018-05-04,139714.57372773706
2018-05-05,113616.18935368244
2018-05-06,111890.49828234213
2018-05-07,122311.83759254105
2018-05-08,162398.29180935785
2018-05-09,141343.50339173357
2018-05-10,146905.41254304053
2018-05-11,132786.80296317526
2018-05-12,111685.76859128539
2018-05-13,111592.26221992096
2018-05-14,136185.03022099813
2018-05-15,143658.39204581678
2018-05-16,150821.98118682773
2018-05-17,148054.8556708915
2018-05-18,141172.0597492856
2018-05-19,115089.69837298867
2018-05-20,108226.42392347817
2018-05-21,146944.926158798
2018-05-22,140472.8915399054
2018-05-23,141279.1101588007
2018-05-24,140853.87857366857
2018-05-25,141463.89998735962
2018-05-26,116519.53021845412
2018-05-27,114506.40139489318
2018-05-28,159564.82058775853
2018-05-29,151393.87616292373
2018-05-30,148704.54273794402
2018-05-31,151122.52670242928
2018-06-01,154640.32124877727
2018-06-02,120027.82134209735
2018-06-04,155411.27566541667
2018-06-05,133678.32901657195
2018-06-06,145957.90068065235
2018-06-07,132340.43119212965
2018-06-08,145053.18599826266
2018-06-09,105763.97694458386
2018-06-11,146171.80686308298
2018-06-12,138194.22307550686
2018-06-13,139621.15426027632
2018-06-14,153945.0213686951
2018-06-15,137630.56756626652
2018-06-16,101916.59104031118
2018-06-17,92992.21165206736
2018-06-19,133647.18706643835
2018-06-20,139184.9352667593
2018-06-21,138695.68088934475
2018-06-22,133348.39574675253
2018-06-23,102701.64084535911
2018-06-24,95134.3677283412
2018-06-25,120482.06828675873
2018-06-26,134268.76190001107
2018-06-27,136980.70588247993
2018-06-28,123828.68237826474
2018-06-29,119148.69221446285
2018-06-30,97324.16117835123
2018-07-01,98719.85477246609
2018-07-02,123496.55144377502
2018-07-03,112823.45569073372
2018-07-04,122761.37600781846
2018-07-05,121595.4124834182
2018-07-06,125517.40015520311
2018-07-07,98067.70901744733
2018-07-08,90465.39748788252
2018-07-09,117840.0906406867
2018-07-10,111369.73780278699
2018-07-11,118121.57691233706
2018-07-12,120185.20583240193
2018-07-13,121557.48647420414
2018-07-14,109859.79866455094
2018-07-15,95209.51834663024
2018-07-16,124485.88984233873
2018-07-17,131947.8957716191
2018-07-18,119339.37002723727
2018-07-19,126782.40656894833
2018-07-20,135727.04153090663
2018-07-23,102560.01332259351
2018-07-24,129293.3033686557
2018-07-25,125989.86098717753
